SFDC GBU,Report GBU,Report BU,BU (lvl 1),BU (lvl 2),BU (lvl 3),BU (lvl 4),BU (lvl 5),PL,SFDC Product Line,Presales Grouping,Group,Code
HPEN Campus & Branch Services,HPEN,HPEN,Networking Solutions,Campus & Branch,Services C&B,Juniper Svcs C&B,SaaS_Juniper C&B,42,42 - SaaS_Mist Svc,Mist,HPEN,42
HPEN Campus & Branch Services,HPEN,HPEN,Networking Solutions,Campus & Branch,Services C&B,Juniper Svcs C&B,SaaS_Juniper C&B,46,46 - Saas_Netwrk AC Svc,Mist,HPEN,46
HPEN Campus & Branch Services,HPEN,HPEN,Networking Solutions,Campus & Branch,Services C&B,Edge C&B SaaS,SaaS_Edge C&B,L5,L5 - SaaS_Cloud Mgmt AAE,Aruba Central,HPEN,L5
HPEN Campus & Branch Services,HPEN,HPEN,Networking Solutions,Campus & Branch,Services C&B,Edge C&B SaaS,SaaS_Edge C&B,X6,X6 - SaaS_Cloud Mgmt AAS,Aruba Central,HPEN,X6
HPEN Campus & Branch Services,HPEN,HPEN,Networking Solutions,Campus & Branch,Services C&B,Edge C&B SaaS,SaaS_Edge C&B,X7,X7 - SaaS_NaaS,Aruba Central,HPEN,X7
HPEN Campus & Branch Services,HPEN,HPEN,Networking Solutions,Campus & Branch,Services C&B,Edge C&B SaaS,SaaS_Edge C&B,X8,X8 - Saas_UXI AAE,Aruba Central,HPEN,X8
HPEN Campus & Branch Services,HPEN,HPEN,Networking Solutions,Campus & Branch,Services C&B,Edge C&B SaaS,SaaS_Edge C&B,Y7,Y7 - Saas_UXI AAS,Aruba Central,HPEN,Y7
HPEN Campus & Branch Services,HPEN,HPEN,Networking Solutions,Campus & Branch,Services C&B,Edge C&B SaaS,SaaS_Edge C&B,91,91 - SaaS_OpsRamp,Aruba Central,HPEN,91
HPEN Data Center Products,HPEN,HPEN,Networking Solutions,Data Center,Products DC,Juniper Prod DC,Core_Juniper DC,X5,X5 - Apstra Intntbase Sys,Apstra,HPEN,X5
HPEN Data Center Services,HPEN,HPEN,Networking Solutions,Data Center,Services DC,Juniper Svcs DC,SaaS_Juniper DC,52,52 - SaaS_Juniper DC,Apstra,HPEN,52
Compute Products,Compute,Compute,Cloud & AI Solutions,Compute,Compute Products,Compute Core,Core_SW R&D,FS,FS - OneView,OneView,Strategic Compute,FS
Compute Products,Compute,Compute,Cloud & AI Solutions,Compute,Compute Products,Compute Core,Core_SW R&D,X4,X4 - Core One View,OneView,Strategic Compute,X4
Compute Services,Compute,Compute,Cloud & AI Solutions,Compute,Compute Services,Compute Subscription Services,Saas_Comp Subs Svcs,S3,S3 - Saas_Server SW,Compute Ops Mgr,Strategic Compute,S3
GL Flex Products,GreenLake Flex,GreenLake Flex,Cloud & AI Solutions,GreenLake Flex Solutions,GreenLake Flex Solutions Products,GL Flex Solutions Products - Compute,GL_SW R&D,AJ,AJ - GL_OneView,OneView,Strategic Compute,AJ
Software Products,Software,Software,Cloud & AI Solutions,Software,Software Products,Zerto Core Products,Core_Zerto Product,IX,IX - Zerto DR Prod,Zerto,Hybrid Software,IX
Software Products,Software,Software,Cloud & AI Solutions,Software,Software Products,Zerto Core Products,Core_Zerto Product,IY,IY - Zerto CRV Prod,Zerto,Hybrid Software,IY
Software Products,Software,Software,Cloud & AI Solutions,Software,Software Products,Zerto Core Products,Core_Zerto Product,LY,LY - Zerto OEMs Prod,Zerto,Hybrid Software,LY
Software Products,Software,Software,Cloud & AI Solutions,Software,Software Products,Zerto GreenLake Products,GL_Zerto Product,RC,RC - GL_Zerto DR Prod,Zerto,Hybrid Software,RC
Software Products,Software,Software,Cloud & AI Solutions,Software,Software Products,Zerto GreenLake Products,GL_Zerto Product,7B,7B - GL_Zerto CRV Prod,Zerto,Hybrid Software,7B
Software Products,Software,Software,Cloud & AI Solutions,Software,Software Products,Morpheus Core Products,Core_Morpheus Software Product,W8,W8 - Morpheus SW,VME,Hybrid Software,W8
Software Products,Software,Software,Cloud & AI Solutions,Software,Software Products,Morpheus Core Products,Core_Morpheus Software Product,4M,4M - Morpheus PCBE,VME,Hybrid Software,4M
Software Products,Software,Software,Cloud & AI Solutions,Software,Software Products,Morpheus Core Products,Core_Morpheus Software Product,7S,7S - Morpheus PC AI,VME,Hybrid Software,7S
Software Products,Software,Software,Cloud & AI Solutions,Software,Software Products,Morpheus Core Products,Core_Morpheus Software Product,9S,9S - Morpheus Hypervisor,VME,Hybrid Software,9S
Software Products,Software,Software,Cloud & AI Solutions,Software,Software Products,Morpheus GreenLake Products,GL_Morpheus Software Product,BQ,BQ - GL_Morpheus Flex,VME,Hybrid Software,BQ
Software Products,Software,Software,Cloud & AI Solutions,Software,Software Products,Morpheus GreenLake Products,GL_Morpheus Software Product,W9,W9 - GL_Morpheus PCE,VME,Hybrid Software,W9
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,Zerto Core Services,Core_Zerto Services,J0,J0 - Zerto DR Svcs,Zerto,Hybrid Software,J0
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,Zerto Core Services,Core_Zerto Services,J1,J1 - Zerto CRV Svcs,Zerto,Hybrid Software,J1
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,Zerto Core Services,Core_Zerto Services,2A,2A - Zerto OEMs Svcs,Zerto,Hybrid Software,2A
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,Zerto Core Services,Saas_Zerto Services,TJ,TJ - Saas_Zerto MSP SW,Zerto,Hybrid Software,TJ
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,Zerto Core Services,Saas_Zerto Services,WD,WD - Saas_Zerto MSP Svcs,Zerto,Hybrid Software,WD
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,Zerto GreenLake Services,GL_Zerto Services,VI,VI - GL_Zerto DR M&S,Zerto,Hybrid Software,VI
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,Zerto GreenLake Services,GL_Zerto Services,VJ,VJ - GL_Zerto DR SW,Zerto,Hybrid Software,VJ
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,Zerto GreenLake Services,GL_Zerto Services,2I,2I - GL_Zerto DR,Zerto,Hybrid Software,2I
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,Zerto GreenLake Services,GL_Zerto Services,DA,DA - GL_Zerto CRV Svcs,Zerto,Hybrid Software,DA
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,Morpheus Core Services,Core_Morpheus Services,5D,5D - Morpheus Prof Svcs,VME,Hybrid Software,5D
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,Morpheus Core Services,Core_Morpheus Services,1R,1R - Morpheus Support,Morpheus,Hybrid Software,1R
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,Morpheus GreenLake Services,GL_Morpheus Services,6B,6B - GL_Morpheus Prof Svc,VME,Hybrid Software,6B
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,Morpheus GreenLake Services,GL_Morpheus Services,M3,M3 - GL_Morpheus Support,Morpheus,Hybrid Software,M3
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,OpsRamp Services,GL_OpsRamp Services,Y6,Y6 - GL_OpsRamp Svc,OpsRamp,Hybrid Software,Y6
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,OpsRamp Services,GL_OpsRamp Services,XX,XX - GL_On-prem,OpsRamp,Hybrid Software,XX
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,OpsRamp Services,GL_OpsRamp Services,9L,9L - GL_OR_SA Services,OpsRamp,Hybrid Software,9L
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,OpsRamp Services,GL_OpsRamp Services,FF,FF - GL_OR_Aruba Supp,OpsRamp,Hybrid Software,FF
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,OpsRamp Services,GL_OpsRamp Services,6X,6X - GL_OR_PCAI Supp,OpsRamp,Hybrid Software,6X
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,OpsRamp Services,GL_OpsRamp Services,9T,9T - GL_OR_Service,OpsRamp,Hybrid Software,9T
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,OpsRamp Services,GL_OpsRamp Professional Services,YC,YC - GL_OpsRamp A&PS Svc,OpsRamp,Hybrid Software,YC
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,OpsRamp Subscription,Saas_OpsRamp Subs,Y8,Y8 - Saas_OpsRamp Subsc,OpsRamp,Hybrid Software,Y8
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,OpsRamp Subscription,Saas_OpsRamp Subs,X1,X1 - Saas_OpsRamp Comp C,OpsRamp,Hybrid Software,X1
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,OpsRamp Subscription,Saas_OpsRamp Subs,XE,XE - GL_OR HWaaS,OpsRamp,Hybrid Software,XE
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,OpsRamp Subscription,Saas_OpsRamp Subs,X3,X3 - Saas_OpsRamp MS,OpsRamp,Hybrid Software,X3
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,OpsRamp Subscription,Saas_OpsRamp Subs,R7,R7 - Saas_OR_Aruba Subs,OpsRamp,Hybrid Software,R7
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,OpsRamp Subscription,Saas_OpsRamp Subs,FD,FD - Saas_OR_PCAI Subs,OpsRamp,Hybrid Software,FD
Software Services,Software,Software,Cloud & AI Solutions,Software,Software Services,OpsRamp Subscription,Saas_OpsRamp Subs,BO,BO - GL_OR_PC Subs,OpsRamp,Hybrid Software,BO
